,dc_p,s_ir,h_ir,m_t
323,0.0,0.0,-1.0,7.1
324,0.0,0.0,-1.0,7.1
325,0.0,0.0,-1.0,7.0
326,0.0,0.0,-1.0,7.0
327,0.0,0.0,-1.0,7.0
328,0.0,0.0,-1.0,7.0
329,0.0,0.0,-1.0,6.9
330,0.0,0.0,-1.0,7.0
331,0.0,0.0,-1.0,7.0
332,0.0,0.0,-1.0,7.0
333,0.0,0.0,-1.0,7.1
334,0.0,0.0,-1.0,7.1
335,0.0,0.0,-1.0,7.1
336,0.0,0.0,-1.0,7.2
337,0.0,0.0,-1.0,7.2
338,0.0,0.0,-1.0,7.3
339,0.0,0.0,-1.0,7.3
340,0.0,0.0,-1.0,7.4
341,0.0,0.0,-1.0,7.4
342,0.0,0.0,-1.0,7.4
343,0.0,0.0,-1.0,7.5
344,0.0,0.0,-1.0,7.5
345,0.0,0.0,-1.0,7.5
346,0.0,0.0,-1.0,7.5
347,0.0,0.0,-1.0,7.5
348,0.0,0.0,-1.0,7.6
349,0.0,0.0,-1.0,7.6
350,0.0,0.0,-1.0,7.6
351,0.0,0.0,-1.0,7.7
352,0.0,0.0,-1.0,7.7
353,0.0,0.0,-1.0,7.6
354,0.0,0.0,-1.0,7.7
355,0.0,0.0,-1.0,7.7
356,0.0,0.0,-1.0,7.7
357,0.0,0.0,-1.0,7.7
358,0.0,0.0,-1.0,7.7
359,0.0,0.0,-1.0,7.7
360,0.0,0.0,-1.0,7.8
361,0.0,0.0,-1.0,7.8
362,0.0,0.0,-1.0,7.8
363,0.0,0.0,-1.0,7.8
364,0.0,0.0,-1.0,7.8
365,0.0,0.0,-1.0,7.9
366,0.0,0.0,-1.0,7.9
367,0.0,0.0,-1.0,8.0
368,0.0,0.0,-1.0,8.0
369,0.0,0.0,-1.0,8.0
370,0.0,0.0,-1.0,8.0
371,0.0,0.0,-1.0,8.0
372,0.0,0.0,-1.0,7.9
373,0.0,0.0,-1.0,7.9
374,0.0,0.0,-1.0,7.9
375,0.0,0.0,-1.0,7.9
376,0.0,0.0,-1.0,7.9
377,0.0,0.0,-1.0,7.9
378,0.0,0.0,-1.0,7.9
379,0.0,0.0,-1.0,7.9
380,0.0,0.0,-1.0,7.9
381,0.0,0.0,-1.0,7.9
382,0.0,0.0,-1.0,7.9
383,0.0,0.0,-1.0,7.9
384,0.0,0.0,-1.0,7.9
385,0.0,0.0,-1.0,7.9
386,0.0,0.0,-1.0,7.8
387,0.0,0.0,-1.0,7.8
388,0.0,0.0,-1.0,7.8
389,0.0,0.0,-1.0,7.8
390,0.0,0.0,-1.0,7.8
391,0.0,0.0,-1.0,7.8
392,0.0,0.0,-1.0,7.8
393,0.0,0.0,-1.0,7.8
394,0.0,0.0,-1.0,7.9
395,0.0,0.0,-1.0,7.9
396,0.0,0.0,-1.0,7.9
397,0.0,0.0,-1.0,7.9
398,0.0,0.0,-1.0,7.9
399,0.0,0.0,-1.0,7.9
400,0.0,0.0,-1.0,7.9
401,0.0,0.0,-1.0,8.0
402,0.0,0.0,-1.0,8.0
403,0.0,0.0,-1.0,8.0
404,0.0,0.0,-1.0,8.0
405,0.0,0.0,-1.0,8.0
406,0.0,0.0,-1.0,8.0
407,0.0,0.0,-1.0,8.0
408,0.0,0.0,-1.0,8.0
409,0.0,0.0,-1.0,8.0
